Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
12.1. Entidades asociadas ......................................................................................................................................................................,"5,22,880","31,52,466","11,795","1,69,820","3,211","3,085","1,134",0,"68,734","5,395",0,0,0,0,456,0,7,0,0,3,0,"3,024",0,"7,767",0,0,243,"3,46,231",0,0,0,0,95,0,0,0,0,0,0,0,"24,000","2,292",0,0,0,0,0,0,0,"1,275",0,0,0,0,0,325,137,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"43,24,385",
12.2. Entidades multigrupo ......................................................................................................................................................................,"4,066","3,99,961","79,053","18,305","8,225","36,396","2,395",0,"33,987","6,912",361,0,"2,410",0,"1,503",0,0,0,270,0,177,0,0,0,180,0,"13,508","14,860",0,0,0,90,0,0,0,0,0,0,"45,250",0,0,0,0,0,0,0,0,0,0,"10,201",0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,"6,78,311",
12.3. Entidades del grupo ......................................................................................................................................................................,"2,09,86,477","3,62,10,128","8,44,979","9,01,700","13,01,442","97,398","1,05,513","40,818","82,001","32,48,786",0,0,"39,029","1,75,775","1,47,636",0,0,"1,15,721",0,0,0,"22,161",0,"11,449",0,"1,035","43,524","7,167",103,"1,51,100",0,0,"7,290",0,0,"7,789","4,127","1,119","2,316","1,07,410","4,393","12,245",0,1,30,6,0,0,0,"1,011","9,704",676,"23,290","1,76,207",0,"1,44,794","1,02,670","1,112",0,0,0,"5,235",0,9,0,0,0,0,0,0,0,"6,51,45,376",
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"21,23,079","29,93,819","15,08,815","2,79,287","87,697",0,"39,902","87,496","9,435","28,592","8,019","6,343",0,"1,705",0,0,0,548,"6,899",0,"6,486",0,10,0,"5,019",0,"1,984",0,"29,784",0,0,"8,504",0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,"72,34,222",
15. ACTIVO MATERIAL ..................................................................................................................................................................,"18,46,689","14,82,578","10,23,194","6,66,335","3,48,854","3,40,139","3,06,658","1,87,064","2,09,610",92,"58,940","25,158","48,167","1,14,987","89,665",0,0,487,"26,827",30,"23,423","33,557",187,"1,393","20,859","10,434","31,364","3,502","21,265","11,005","33,586","18,197",565,2,143,"24,637","3,821","14,792","6,354","8,887","6,976","8,558",118,"4,309","3,838","9,854",783,11,"4,323",353,"4,725","4,699","1,005",23,"3,087",97,"3,874","1,320","29,107",13,"3,459","1,241",3,570,"2,556",2,421,3,0,0,0,"71,38,775",
15.1. De uso propio ..................................................................................................................................................................,"18,35,863","14,79,759","10,04,239","6,65,629","3,42,681","3,22,768","2,98,548","1,85,849","2,00,328",92,"57,562","10,669","42,279","1,14,953","89,665",0,0,487,"26,552",30,"22,872","33,557",187,"1,393","20,686","10,434","31,364","3,502","21,265","11,005","33,586","16,387",565,2,143,"23,830","3,821","12,703","6,354","8,887","6,976","8,471",118,"2,938","3,838","8,782",783,11,"4,323",353,"4,725","4,699","1,005",23,"3,087",97,"3,874","1,320","9,671",13,"3,459","1,241",3,570,"2,556",2,421,3,0,0,0,"70,13,858",
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"10,826","2,819","18,955",706,"6,173",0,"8,110","1,215","9,282",0,"1,378","14,489","5,888",0,0,0,0,0,275,0,551,0,0,0,173,0,0,0,0,0,0,"1,810",0,0,0,807,0,"2,012",0,0,0,87,0,"1,371",0,"1,072",0,0,0,0,0,0,0,0,0,0,0,0,"19,436",0,0,0,0,0,0,0,0,0,0,0,0,"1,07,435",
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,"17,371",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,482",
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,30,"4,70,379","11,927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,82,336",
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"74,247",662,"34,661","4,45,641","15,654","8,571","10,437","6,423",709,"17,556",94,0,0,"1,452",0,0,0,0,62,0,31,"9,565",7,825,31,321,"7,048",559,"8,741","21,918","1,00,289",31,0,188,0,66,9,0,"7,480","48,125",190,586,225,"1,354",800,0,31,10,384,0,628,"11,085","10,521",0,39,0,"3,991",0,0,1,"2,656",953,0,0,0,0,0,0,0,0,0,"8,54,857",
16.1. Fondo de comercio ......................................................................................................................................................................,0,228,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,0,0,0,0,0,"44,244",0,0,0,0,0,0,0,0,0,0,0,"10,981","10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,39,307",
