Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0046,0086,0223,0231,0198,0094,0130,0057,0122,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0205,0219,0132,0115,0121,0091,0083,0234,,,,0151,1460
5. 1. Depósitos en entidades de crédito ,"4,52,74,003","5,13,22,132","2,13,64,317","38,41,851","1,24,48,132","30,59,371","22,53,158","11,72,525","5,53,671","1,53,53,097","11,39,117","2,68,098","31,10,342","6,89,392","2,55,810","97,50,930","71,20,089","52,51,675","41,25,960","2,00,920","25,67,679","15,629","4,65,048","42,56,327","18,48,111","12,74,772","8,84,759","17,96,741","6,78,419","19,982","16,13,340","1,307","23,51,607","1,06,384","1,11,821","83,436","3,89,460","1,61,170","62,190","6,43,418","11,63,117","1,18,306","6,870","2,185","34,112","2,70,079","43,03,799","4,941","1,50,676","64,922","1,68,474","10,31,085","88,821","1,56,834","61,435","1,09,946",115,"20,240","2,256","46,141","33,847","21,082","17,343","7,543","9,119","1,53,321","21,59,32,799",,5. 1. Depósitos en entidades de crédito ,"4,47,108","2,81,143"
5. 2. Crédito a la clientela  ,"22,68,36,482","18,29,02,064","7,66,62,294","6,22,31,985","7,20,74,639","4,12,85,681","2,64,62,610","2,10,21,890","1,86,15,880","49,80,442","1,16,08,895","78,36,075","1,28,20,510","79,35,275","80,22,598",0,"21,88,900",0,"35,978","33,80,267","49,41,357","27,92,349","99,61,036","3,63,508","2,57,358","48,56,667","11,018","17,11,396","12,20,807","11,20,108","1,00,032","22,58,030","48,64,007","14,49,834","6,96,043","6,18,613","1,44,301","1,55,360","4,05,228","5,22,456","39,702","9,99,617","4,22,203","19,09,444","13,69,121","70,231",34,"3,53,897","5,51,039","33,50,914","2,25,992","22,919","1,180","10,117",211,"16,365","1,43,590","50,796","11,38,567","57,825",0,2,0,"5,118",0,"5,88,758","83,66,79,615",,5. 2. Crédito a la clientela  ,"15,77,883","2,45,427"
5. 3. Valores representativos de deuda  ,"3,593","10,71,243","7,36,239",0,0,0,0,0,"16,19,506","11,03,947",0,0,0,0,0,0,0,0,"3,45,210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,690","42,254",0,0,36,0,"28,203",0,0,0,0,0,0,"49,83,921",,5. 3. Valores representativos de deuda  ,0,0
Pro-memoria: Prestados o en garantía  ,"46,82,505","24,79,882","4,66,923","6,72,230","13,79,910",0,"15,52,995","38,84,117","1,07,23,367","13,50,000",528,"32,848","15,92,597",0,0,0,"27,43,672",0,0,0,"9,99,784",0,0,0,"15,10,921","6,689",0,0,"1,50,851",0,0,0,"12,93,817","81,581","69,196",0,"4,361","98,352","6,252",0,"1,36,080",0,805,0,0,0,0,"2,63,036","1,33,826",0,0,0,0,"1,56,622",0,0,0,0,0,0,0,0,0,0,0,"96,511","3,65,70,258",,Pro-memoria: Prestados o en garantía  ,0,0
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,"52,81,523",0,0,0,240,0,0,"1,96,495",0,0,0,"67,309",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,"1,83,960",0,0,0,0,0,0,0,0,0,0,0,"5,518",0,0,0,0,0,"59,377",0,0,0,0,0,"2,505",0,0,0,0,0,0,0,0,0,0,"11,575","58,08,514",,6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,0
Pro-memoria: Prestados o en garantía  ,"7,28,627",0,0,0,0,0,0,"1,90,267",0,0,0,"12,236",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,010","9,63,894",,Pro-memoria: Prestados o en garantía  ,0,0
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0,0,0,0,"64,147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,147",,7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0
8. DERIVADOS DE COBERTURA ,"30,46,759","47,60,338","11,96,011","4,93,692","3,41,752","1,45,210","7,114","75,077","16,925","3,22,119","1,47,856","53,149","1,46,122","46,599","2,14,013",0,0,0,0,"30,503",0,0,"2,22,508",0,0,"2,425",0,0,"6,952",0,"4,670","37,206","9,221",0,181,0,0,0,0,0,0,"8,381",0,0,0,0,"59,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,698","1,14,00,238",,8. DERIVADOS DE COBERTURA ,0,0
9. ACTIVOS NO CORRIENTES EN VENTA ,"1,49,023","12,11,913","3,55,821","17,851","2,72,577","7,665","9,010","58,100","9,016","26,000","73,833","24,530","2,380","6,491","27,400",0,0,0,0,523,"8,454","6,557",0,0,0,"1,407",0,0,0,5,0,520,"1,789",508,0,456,0,0,439,0,0,0,39,"7,067",0,0,0,47,"1,037",0,"1,684","4,140",1,0,0,0,0,0,"3,286",0,3,0,0,0,0,0,"22,89,572",,9. ACTIVOS NO CORRIENTES EN VENTA ,0,0
10. PARTICIPACIONES ,"2,16,67,722","6,22,32,929","6,59,720","10,14,198","19,41,796","2,21,912","40,401","1,58,530","2,56,678","35,67,684",361,"2,41,018","35,102","2,81,377",0,0,"1,15,273",7,33,"28,185","1,57,693","3,46,231",0,"20,883","1,092",53,0,"1,50,113",0,"7,385","4,133",0,"1,27,531","4,921","43,316","1,119","1,07,399","4,350","14,270","9,704",1,0,640,30,0,0,"3,99,839",0,"26,235",661,"23,290",0,"1,45,061","1,112",0,"7,001",0,"5,436",9,0,0,0,10,0,0,"25,550","9,40,97,994",,10. PARTICIPACIONES ,0,"8,025"
