Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"54,20,376","20,78,199","20,08,896",0,"13,55,440",0,"7,55,601",0,0,0,0,"6,88,582",0,0,0,0,0,0,0,0,0,6,0,0,0,"3,31,387",0,0,0,0,"1,00,876",0,0,0,0,0,0,"44,777",0,"55,850",0,"12,505",0,0,0,0,0,0,0,0,0,"9,570","9,589",0,0,0,0,0,,0,0,0,0,242,"1,28,71,896",
Pro-memoria: Prestados o en garantía  ,0,"3,47,824","20,78,199","14,95,848",0,"6,80,960",0,"3,79,229",0,0,0,0,"3,73,655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,00,459",0,0,0,0,0,0,"15,564",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,498",0,0,0,0,0,0,,0,0,0,0,242,"54,81,478",
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0,"80,195",0,0,"9,245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"89,440",
8. DERIVADOS DE COBERTURA ,"41,53,471","37,40,393","14,46,648","9,31,820","6,67,840","2,18,359",0,"1,48,660","70,878","97,327",0,"1,82,518","54,883","93,753",0,0,0,"2,32,228",0,"22,854",0,41,"4,551",0,"1,076",0,"1,17,780",0,0,"60,160",0,"7,356",0,0,0,"3,859",181,"14,116",0,0,0,0,0,0,"93,843",0,0,0,0,0,0,0,0,0,0,15,0,0,0,,0,0,0,0,0,"1,23,64,610",
9. ACTIVOS NO CORRIENTES EN VENTA ,"6,24,559","5,38,451","8,35,169","6,74,406","57,487","11,084","16,037","2,09,340","39,678","52,532",0,"11,817","47,653","34,085",0,0,0,0,"8,454","2,334","9,145",0,"3,855",0,0,0,0,0,6,"1,37,596",589,0,0,0,632,"1,082",0,0,0,0,"1,471",349,"1,126",0,0,0,"19,893",0,23,"3,839",0,1,0,0,0,0,"2,517",0,3,,0,0,0,0,0,"33,45,213",
10. PARTICIPACIONES ,"6,77,61,229","2,35,39,601","6,25,285","17,25,217","10,29,374","5,48,409","26,791","1,56,863","2,55,331","36,86,919",0,"21,823","2,99,123","3,04,237","1,15,273",7,33,0,"81,598","30,204","3,46,231","20,883",6,"1,089",0,"1,42,325","4,133",1,"7,385",0,"4,921","25,601",0,"1,07,399","1,116","1,10,001","43,316",0,"29,284","9,704","8,667",0,640,"4,350","4,00,467",0,30,"23,290",0,0,661,"1,45,061","1,112","10,000","10,110",0,"4,897",0,0,,0,10,3,0,0,"10,16,70,010",
10. 1. Entidades asociadas ,"55,99,305","22,51,026","12,168","3,211","2,76,458","3,087",0,"1,313","53,266","6,415",0,0,456,0,0,7,33,0,"15,376","10,561","3,46,231","9,434",0,0,0,0,0,0,95,0,0,0,0,0,0,107,0,0,"6,799",0,"2,025",0,0,0,0,0,0,0,0,0,0,267,0,"10,000",0,0,0,0,0,,0,10,0,0,0,"86,07,650",
10. 2. Entidades multigrupo ,"5,04,961","16,780","79,053","9,304","7,443",861,0,"2,398","71,023","6,912",0,"2,204","1,503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,200","41,000",0,"9,455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,,0,0,0,0,0,"7,68,300",
10. 3. Entidades del grupo ,"6,16,56,963","2,12,71,795","5,34,064","17,12,702","7,45,473","5,44,461","26,791","1,53,152","1,31,042","36,73,592",0,"19,619","2,97,164","3,04,237","1,15,273",0,0,0,"66,222","19,643",0,"11,449",6,"1,089",0,"1,42,325","4,133",1,"7,290",0,"4,921","25,601",0,"1,07,399","1,116","94,694","2,316",0,"13,030","9,704","6,642",0,640,"4,350","4,00,467",0,30,"23,290",0,0,661,"1,44,794","1,112",0,"10,110",0,"4,694",0,0,,0,0,3,0,0,"9,22,94,060",
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"29,63,765","20,02,580","14,67,021","65,876","2,05,548",0,"69,081","22,453","14,580","24,858",0,0,0,"2,024",331,0,0,10,"1,581",0,0,0,"34,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,"24,035",0,0,0,0,0,0,0,174,0,0,0,,0,0,0,0,0,"68,98,432",
