Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
5. 1. Depósitos en entidades de crédito ,"4,33,44,407","3,59,97,617","1,94,44,146","1,59,78,450","32,62,658","28,82,235","15,71,800","16,24,234","4,65,674","1,23,23,913","10,75,224","95,78,529","30,46,029","3,01,022","2,22,468","1,81,840","64,46,804","61,70,474","43,94,243","4,89,602","27,43,963","59,811","19,471","43,90,125","13,70,397","16,49,983","7,70,770","16,93,939","13,63,782","3,71,084","1,78,466","1,324","53,536","63,975","6,99,360","4,66,042","55,570","19,91,819","1,19,252","1,19,949","93,276","4,66,408","1,36,452","34,296","73,437","1,34,884","38,72,988","2,72,767","2,510","1,65,729","32,345","4,19,621","27,183","1,15,825","1,43,454","54,032","1,55,032",82,"45,151","17,272","34,072",899,"21,129","17,453","7,704","9,119","83,851"
5. 2. Crédito a la clientela  ,"18,48,89,931","22,42,50,386","7,19,55,814","6,99,75,926","6,18,99,712","4,08,08,641","2,63,17,607","2,04,64,662","1,87,51,869","57,12,059","1,15,66,260",0,"1,26,43,848","75,08,355","78,92,327","84,87,930","24,64,973",0,"20,683","1,01,80,592","49,09,755","33,46,123","25,38,745","5,36,133","48,62,212","3,73,171","11,35,965","18,40,067","98,576","30,838","10,72,744","21,64,368","14,87,344","6,02,051","36,692","1,40,552","6,18,289","49,24,872","6,95,883","9,64,742","4,16,825","4,82,380","4,12,434","14,18,205","4,19,886","1,45,102",56,"78,993","18,68,343","2,91,232","3,23,145","11,951","31,84,934",39,"4,226","5,165","20,910","1,82,938","55,824","64,433",0,"10,92,233",16,10,"5,001",0,"8,882"
5. 3. Valores representativos de deuda  ,"39,79,684","6,026","7,06,305",0,0,0,0,0,"16,19,413","16,15,409",0,0,0,0,0,0,0,0,"3,46,463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,407",0,0,36,"18,146",0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"20,38,153","57,92,735",0,"2,24,50,006","3,43,735",0,"17,22,805","38,96,911","1,09,01,330","13,50,000","10,26,539",0,"10,58,834","36,501",0,0,"25,33,131",0,0,0,"9,17,037",0,0,0,"12,858","14,67,154","1,01,698",0,0,"98,040",0,0,"18,794","43,227",0,"2,936",0,"11,89,124","69,092",0,"66,686",0,"45,520",0,249,"76,690",0,0,0,0,"3,14,241",0,0,0,"1,33,401",0,0,0,0,0,0,0,0,0,0,0,0
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"51,49,805","20,90,521",230,0,"9,73,873",0,"1,95,145",0,0,0,0,0,"62,280",0,0,0,0,0,0,0,0,0,0,119,0,0,0,"2,54,520",0,0,0,0,"1,04,307",0,0,0,0,0,0,"54,993",0,0,0,"8,434",0,0,0,0,0,0,0,0,0,"10,630","5,257",0,0,0,0,0,0,0,0,0,0,131
Pro-memoria: Prestados o en garantía  ,0,"11,29,800","20,68,152",0,0,"6,70,223",0,"1,78,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,"92,676",0,0,0,0,0,0,"14,741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0,0,0,0,"38,457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8. DERIVADOS DE COBERTURA ,"45,76,391","39,94,784","12,18,592","5,46,315","6,31,011","1,52,270",635,"1,52,841","52,048","1,60,758","1,67,678",0,"1,87,905","63,086","65,491","2,31,272",0,0,0,"2,32,759",0,"30,043",0,53,"4,723",0,0,0,"6,011",0,0,"41,190",0,"8,282",0,0,0,"1,466",181,"9,779",0,0,0,0,0,0,"97,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9. ACTIVOS NO CORRIENTES EN VENTA ,"3,88,178","2,15,795","5,78,852","3,42,226","65,321","8,461","9,897","95,960","19,889","39,533","97,534",0,"3,375","32,777","25,465","27,400",0,0,0,0,"8,454",523,"9,579",0,"1,822",0,0,0,0,0,0,519,631,0,0,0,693,"1,691",0,0,0,0,756,0,582,0,0,0,"12,800","1,684",175,"4,337",0,1,0,0,0,0,"2,442",0,3,"3,314",0,0,0,0,0
10. PARTICIPACIONES ,"6,71,81,692","2,20,26,726","6,59,554","19,67,078","10,25,423","6,48,761","40,401","1,52,580","2,71,181","36,07,285",361,0,"35,083","3,00,557","2,89,685",0,"1,15,273",6,33,0,"75,068","28,185","3,46,231","20,883",53,"1,095",0,"1,50,125","4,133",1,"7,385",0,"4,921","25,607",0,"1,07,399","1,119","1,30,031","43,316",0,"26,222","9,704","14,270",0,640,"4,350","3,99,115",0,30,"23,290",0,0,661,"1,45,061","1,112",0,"7,001",0,"5,477",0,0,9,0,10,0,0,0
