Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
5. 3. Valores representativos de deuda  ,"59,95,812","3,663","6,78,233",0,0,0,0,"2,72,883","18,19,372","21,62,358",0,0,0,0,0,0,"3,45,264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,70,000",0,0,0,0,0,0,0,0,0,0,0,"37,958",0,0,36,"6,504",0,0,0,0,0,0,0,"1,14,92,083",
Pro-memoria: Prestados o en garantía  ,"5,42,969","90,29,604","1,95,195","3,12,74,272","7,05,892",0,"9,72,839","59,69,179","1,07,60,660","13,50,000",0,"11,23,880","7,351","50,000","20,89,889",0,0,0,"7,45,544",0,0,0,1,"13,35,183","62,743",0,0,"60,648",0,0,"83,160","40,365",0,"4,161",0,"10,51,571","53,982",0,"94,793",0,"34,148",0,0,"54,046",0,0,0,0,0,0,0,0,"1,10,133",0,0,0,0,0,0,0,0,0,0,0,0,"6,78,02,208",
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"49,94,640","20,81,659","20,04,743",0,"13,48,579",0,"7,08,489",0,0,0,0,"5,80,669",0,0,0,0,0,0,0,0,0,6,0,0,0,"2,95,764",0,0,0,0,"1,01,176",0,0,0,0,0,0,"53,887",0,"55,551",0,"12,545",0,0,0,0,0,0,0,0,0,"9,595","9,582",0,0,0,0,0,0,0,0,0,0,242,"1,22,57,127",
Pro-memoria: Prestados o en garantía  ,0,0,"20,68,961","15,01,223",0,"6,73,633",0,"3,78,696",0,0,0,0,"1,99,637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"74,997",0,0,0,0,0,0,"15,568",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,539",0,0,0,0,0,0,0,0,0,0,0,242,"49,22,496",
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0,"82,138",0,0,"17,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,915",
8. DERIVADOS DE COBERTURA ,"40,52,324","34,84,291","12,87,602","9,96,885","6,32,846","1,84,549",45,"1,47,532","64,316","86,902",0,"1,84,945","54,691","69,286",0,0,0,"2,18,716",0,"25,554",0,40,992,0,"1,877",0,"4,152",0,0,"54,954",0,"6,979",0,0,0,"6,808",181,"13,020",0,0,0,0,0,0,"95,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,16,74,673",
9. ACTIVOS NO CORRIENTES EN VENTA ,"5,85,465","4,81,884","7,70,884","6,18,416","63,290","10,875","12,390","2,01,902","33,701","53,881",0,"4,220","40,470","33,680",0,0,0,0,"8,454","2,154","3,60,183",0,"3,265",0,0,0,0,0,20,"1,35,999",460,0,0,0,632,"1,375",0,0,0,0,"1,038",0,"1,126",0,0,0,"19,644",0,37,"3,938",0,1,0,0,0,0,"2,517",0,5,"4,423",0,0,0,0,0,"34,56,329",
10. PARTICIPACIONES ,"6,78,33,381","2,13,25,800","6,25,279","17,60,073","10,31,472","5,48,409","26,791","1,56,863","2,71,181","36,86,919",0,"26,961","2,87,513","3,03,548","1,15,273",7,33,0,"81,598","27,197","3,46,231","20,883",6,"1,089",0,"1,42,325","4,133",1,"7,385",0,"4,921","25,601",0,"1,07,399","1,116","1,10,001","43,316",0,"29,021","9,704","8,667",0,640,"4,350","4,00,750",0,30,"23,290",0,0,661,"1,45,061","1,112","10,000","7,001",0,"5,524",0,0,9,0,10,0,0,0,"9,95,68,535",
10. 1. Entidades asociadas ,"55,99,339","4,78,037","12,168","3,211","2,76,458","3,087",0,"1,313","53,266","6,415",0,0,456,0,0,7,33,0,"15,408","6,054","3,46,231","9,434",0,0,0,0,0,0,95,0,0,0,0,0,0,107,0,0,"6,799",0,"2,025",0,0,0,0,0,0,0,0,0,0,267,0,"10,000",0,0,0,0,0,0,0,10,0,0,0,"68,30,220",
10. 2. Entidades multigrupo ,"5,04,961","16,780","79,053","9,304","7,443",861,0,"2,398","86,873","6,912",0,"2,204","1,503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,200","41,000",0,"9,455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,"7,84,150",
