Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121,0091,0083,
5. 1. Depósitos en entidades de crédito ,"4,52,15,174","3,74,60,728","91,04,006","1,03,10,817","61,59,039","12,30,032","13,02,885","11,91,552","3,70,751","1,57,83,227","2,51,474","12,81,726","8,60,943","52,05,539","32,56,646","78,40,224","51,12,702","9,22,832","29,737","3,43,244","11,64,202","11,060","1,41,128","12,09,567","4,74,839","10,14,923","25,945","11,18,583","56,201","3,73,082","72,463","25,907","32,215","2,14,870","2,48,995","8,830","11,140","33,163","22,68,802","1,64,152","25,46,693","51,461","32,13,375","2,47,873","78,625","25,428","85,992","4,26,065","2,83,459","66,766","1,17,300","60,172","25,220","2,28,373","6,403",114,"36,625","31,641","33,045","11,186","17,807","9,158",0,"16,95,06,126"
5. 2. Crédito a la clientela  ,"17,04,42,454","23,75,47,609","9,25,67,813","6,96,66,136","6,69,14,893","4,30,71,082","2,24,19,513","2,61,83,096","1,88,51,537","44,87,674","78,81,505","40,00,097","1,49,67,018",0,"26,710","5,05,431","16,80,528","1,23,06,013","35,62,319","48,88,329","50,84,854","12,60,612","20,41,022","16,32,897","80,864","3,71,634","14,86,301","4,963","6,66,841","8,31,147","5,94,071","17,17,242","19,98,714","1,66,579","10,69,170","4,98,749","8,92,242","3,74,038",22,"6,15,701","49,82,198","1,30,785",98,"1,00,951","28,51,222","2,59,598","6,29,167","92,602","6,18,663",67,973,"20,424",872,"13,606","10,044","3,54,033","70,710","86,781",0,"3,349",22,"3,001",0,"83,35,86,586"
5. 3. Valores representativos de deuda  ,"93,76,099","13,47,836",0,"3,74,057",0,0,"9,14,221",0,"23,13,978","17,04,495",0,0,0,0,0,0,0,0,0,0,"4,04,544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,"1,499",0,0,0,0,0,"1,64,37,042"
Pro-memoria: Prestados o en garantía  ,"16,78,067","4,46,25,045","3,56,52,150","1,57,553","24,77,969",0,"42,70,867","6,31,091","1,23,90,710","13,50,000","1,01,583","10,121","4,16,474",0,0,0,"12,77,485",0,0,"25,896","4,44,544",0,0,0,0,"8,13,091","4,38,667",0,0,"31,581","30,506",0,0,"5,601",0,0,0,"4,788",0,0,"19,72,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,88,06,569"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"92,30,034","70,51,522","34,19,269",0,"32,35,889","20,93,073",0,0,0,0,0,0,0,0,0,0,0,"5,98,807",0,"7,00,504",0,0,0,"4,51,292",0,"74,886",0,"28,158",0,"1,01,323",0,0,0,0,"21,546",0,"56,750",0,0,0,0,0,0,0,"3,67,168",0,0,0,0,"12,124","20,368",0,0,"90,103",0,0,0,0,0,0,0,0,"2,75,52,816"
Pro-memoria: Prestados o en garantía  ,0,"1,17,735","37,98,664","32,36,680",0,"10,89,224","2,48,047",0,0,0,0,0,0,0,0,0,0,0,"1,28,305",0,"7,00,504",0,0,0,0,0,"14,207",0,0,0,"98,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,32,804",0,0,0,0,0,188,0,0,"78,887",0,0,0,0,0,0,0,0,"98,43,473"
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,"-5,362",0,"81,722",0,"-8,818","5,786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,328"
8. DERIVADOS DE COBERTURA ,"31,33,128","27,29,027","5,82,371","10,74,039","2,54,690","1,32,019","1,02,971","49,581","4,809","49,467","95,906","8,421","1,24,716",0,0,0,0,"2,07,362","9,815",0,"4,050",0,319,0,"2,20,736",0,0,0,0,0,0,0,"2,289",0,0,0,"6,289",0,0,0,"2,095",0,"58,979",0,0,253,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,"88,53,798"
9. ACTIVOS NO CORRIENTES EN VENTA ,"12,20,742","10,69,957","12,87,787","11,80,949","2,02,939","26,988","2,12,622","51,055","1,38,513","55,227","37,411","78,622","31,858",0,0,0,0,0,"1,443","20,427","18,663","35,317",142,0,0,0,"7,146",0,"3,586",0,0,0,"29,321",0,454,947,134,"1,897",0,0,613,0,0,0,0,"1,475",0,58,0,0,0,0,21,0,0,0,"2,698",0,0,0,0,0,0,"57,19,012"
10. PARTICIPACIONES ,"6,62,00,824","2,87,50,358","17,99,175","6,94,502","14,86,370","5,46,867","1,80,400","26,792","3,57,528","42,54,844","3,32,724","2,27,544","17,733",0,33,"20,883","1,15,274",0,"31,171","5,89,288",6,"3,46,231",0,"82,971","12,333","1,236","4,921",0,"2,119",0,"28,289",0,698,"1,07,400","9,234",640,0,"8,802",7,"2,301","1,13,613","4,350","3,03,398",0,661,"18,880","23,290","4,043","9,704","1,45,059","10,000",0,0,"10,110","1,112",0,"4,901",0,0,50,11,14,0,"10,68,88,694"
10. 1. Entidades asociadas ,"1,27,225","35,47,529","33,475","24,132","3,09,569","3,412","5,801",0,"45,963",0,0,456,0,0,33,"9,434",0,0,"12,201","15,376",0,"3,46,231",0,0,0,0,0,0,0,0,0,0,0,0,41,634,0,"2,160",3,0,46,0,0,0,0,"7,127",0,0,0,265,"10,000",0,0,0,0,0,0,0,0,0,5,0,0,"45,01,118"
