Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121
Pro-memoria: Prestados o en garantía  ,"11,97,824","4,37,39,479","3,15,41,109","1,04,489","1,32,015",0,"34,64,550","8,56,951","1,20,58,530","13,50,000","77,034",0,"4,17,638",0,0,0,"15,30,805",0,0,"1,21,948","4,89,198",0,0,0,0,"8,97,516","4,58,181",0,0,"43,811",0,0,0,"3,263",0,0,"4,645",0,0,0,"47,505","21,16,336",0,0,0,0,0,0,0,0,0,0,0,0,0,"36,264",0,0,0,0,0,0
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"92,45,480","54,67,957","34,28,843",0,"32,31,610","21,40,131",0,0,0,0,0,0,0,0,0,0,0,"6,02,188",0,3,0,0,0,"2,97,218",0,"73,912",0,"7,741",0,"1,05,028",0,0,0,0,"13,224",0,0,"56,163",0,0,0,0,0,0,0,"1,80,014",0,0,0,0,"12,013","20,516",0,0,"49,713",0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,0,"14,58,571","28,92,007","31,38,420",0,"16,90,871","2,39,829",0,0,0,0,0,0,0,0,0,0,0,"81,398",0,0,0,0,0,0,0,"26,712",0,0,0,"48,705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,67,069",0,0,0,0,0,281,0,0,"49,039",0,0,0,0,0,0
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,"2,609",0,"47,851",0,"-11,213","5,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8. DERIVADOS DE COBERTURA ,"35,23,769","25,41,232","7,57,334","12,29,984","3,34,277","1,47,231","1,11,736","15,362","5,216","75,940","95,225","6,736","1,35,036",0,0,0,0,"2,09,408","11,650",0,"8,026",0,237,0,"2,65,776",0,0,0,0,68,0,0,"3,004",0,0,0,0,"12,596",0,0,0,661,0,"67,402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9. ACTIVOS NO CORRIENTES EN VENTA ,"9,75,171","9,57,774","11,83,928","9,94,645","1,48,225","21,570","1,89,830","38,732","1,15,472","61,520","37,670","75,659","20,416",0,0,0,0,0,"1,984","19,425","19,606","33,145",0,0,0,0,"6,601",0,"2,522",0,0,0,"29,801",0,305,812,0,134,"1,858",0,0,"1,224",0,0,0,0,"1,475",0,58,0,0,0,0,21,0,0,0,0,0,0,0,0
10. PARTICIPACIONES ,"6,01,25,875","2,44,90,717","17,21,439","6,98,312","14,77,957","5,41,968","1,86,699","26,791","2,57,528","42,14,260","3,42,248","2,32,763","17,724",0,33,"20,883","1,15,274",0,"23,701","91,718",6,"3,46,231",63,"83,889","4,006","1,236","4,921",0,"2,119",0,"27,995",0,698,"1,07,400","9,234",640,1,0,"8,802",7,"2,301","1,08,614","4,350","3,05,086",0,661,"18,230","23,290","4,043","9,704","1,45,061","10,000",0,0,"10,110","1,112",0,"4,901",0,0,50,10
10. 1. Entidades asociadas ,"1,26,520","35,85,137","22,421","18,853","2,90,537","3,412","5,801",0,"45,963",0,0,456,0,0,33,"9,434",0,0,"12,201","15,376",0,"3,46,231",0,0,0,0,0,0,0,0,0,0,0,0,95,634,0,0,"2,160",7,0,107,0,0,0,0,"7,127",0,0,0,267,"10,000",0,0,0,0,0,0,0,0,0,10
10. 2. Entidades multigrupo ,"4,99,758","13,600","1,38,320","84,492","7,443",162,"2,398",0,"53,261","12,160",0,"1,503","2,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,109",0,0,0,0,"9,095",0,0,0,0,0,0,0,0,0,0,201,0,0,0,0
10. 3. Entidades del grupo ,"5,94,99,597","2,08,91,980","15,60,698","5,94,967","11,79,977","5,38,394","1,78,500","26,791","1,58,304","42,02,100","3,42,248","2,30,804","15,520",0,0,"11,449","1,15,274",0,"11,500","76,342",6,0,63,"83,889","4,006","1,236","4,921",0,"2,119",0,"27,995",0,698,"1,07,400","9,139",6,1,0,"6,642",0,"2,301","1,04,398","4,350","3,05,086",0,661,"2,008","23,290","4,043","9,704","1,44,794",0,0,0,"10,110","1,112",0,"4,700",0,0,50,0
