Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0115,0121,0091,0083,1490,,,
5. 1. Depósitos en entidades de crédito ,"4,53,28,121","2,78,62,859","2,03,65,861","1,29,69,795","42,27,417","36,24,537","41,92,248","21,19,973","4,63,370","1,42,49,837","70,59,170","15,14,039","1,83,144","3,87,439","58,94,577","20,16,197","34,56,259","4,97,486","8,95,361","61,875","11,705","50,52,534","12,01,380","20,58,828","8,21,763","21,63,927","10,31,951","1,34,960","3,08,268",0,"42,531","45,169","10,89,766","3,47,417","79,331","25,35,405","76,204","1,03,016","77,326","2,93,604","1,14,459","70,623","81,559","1,05,060","37,80,050","2,41,444","2,457","1,19,484","12,195","8,28,262","92,719","1,25,749","1,32,776","55,278","1,51,904","6,193","29,039","79,558","33,090","20,892","17,838","8,693","9,118","87,312","18,10,50,402",,5. 1. Depósitos en entidades de crédito 
5. 2. Crédito a la clientela  ,"17,31,95,784","22,84,91,661","7,93,35,548","8,93,13,736","6,30,97,669","3,98,64,706","2,63,13,163","2,13,52,069","1,88,28,606","52,76,960",0,"1,38,76,898","73,32,559","80,47,820","24,74,432",0,"24,342","1,10,63,085","47,78,881","33,82,790","19,24,069","6,83,632","47,30,400","2,26,262","10,50,481","16,60,752","82,253","42,193","10,34,206","20,46,468","14,53,741","5,98,436","8,030","1,79,995","6,42,368","49,29,589","6,18,584","9,37,101","3,15,916","4,71,196","4,27,257","15,77,870","4,41,323","1,37,848",135,"90,721","18,24,857","3,84,370",550,"39,601","29,54,069",0,"3,896","1,119","7,140","2,31,644","55,504","85,750",0,1,0,"4,001",0,"15,644","82,79,69,681",,5. 2. Crédito a la clientela  
5. 3. Valores representativos de deuda  ,"60,59,837",696,"6,29,662",0,0,0,0,"4,80,762","17,63,883","20,97,954",0,0,0,0,0,0,"3,43,737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,71,801",0,0,0,0,0,0,0,0,0,0,0,"37,963",0,0,36,"3,167",0,0,0,0,0,0,"1,15,89,498",,5. 3. Valores representativos de deuda  
Pro-memoria: Prestados o en garantía  ,"4,28,369","4,00,39,711","2,81,963","2,85,05,915","9,22,000",0,"9,37,478","73,01,473","1,01,78,067","13,50,000",0,"9,69,487","5,570","17,113","21,06,817",0,0,0,"5,33,732",0,0,0,0,"18,07,033","56,814",0,0,"57,128",0,0,"5,27,123","38,462",0,"7,645",0,"16,41,822","54,863",0,"46,715",0,"28,209",0,0,"54,021",0,0,0,0,0,0,0,0,"1,14,514",0,0,0,0,0,0,0,0,0,0,0,"9,80,12,044",,Pro-memoria: Prestados o en garantía  
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"54,37,359","20,76,328","20,15,809",0,"16,21,669",0,"7,54,981",0,0,0,0,"7,18,322",0,0,0,0,0,0,"3,02,538",0,0,3,0,0,0,"3,72,141",0,0,0,"42,855","1,01,009",0,0,0,0,0,0,"44,114",0,"56,001",0,"12,544",0,0,0,0,0,0,0,0,0,"4,945","9,543",0,0,0,0,0,0,0,0,0,"3,384","1,35,73,545",,6. CARTERA DE INVERSIÓN A VENCIMIENTO 
Pro-memoria: Prestados o en garantía  ,0,"11,77,950","20,58,056","13,62,339",0,"6,89,056",0,"3,76,858",0,0,0,0,"4,64,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,467","98,459",0,0,0,0,0,0,"15,469",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,378",0,0,0,0,0,0,0,0,0,0,242,"62,88,244",,Pro-memoria: Prestados o en garantía  
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,0,"61,449",0,0,"9,754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,203",,7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS 
8. DERIVADOS DE COBERTURA ,"38,56,870","30,82,050","13,94,099","8,94,678","6,67,289","1,89,987",0,"1,27,466","66,366","93,459",0,"1,32,091","53,820","1,00,075",0,0,0,"1,99,782",0,"22,869",0,0,"1,735",0,793,0,"1,88,685",0,0,"60,418",0,"6,651",0,0,0,"6,243",181,"14,329",0,0,0,0,0,0,"98,305",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,"1,12,58,269",,8. DERIVADOS DE COBERTURA 
9. ACTIVOS NO CORRIENTES EN VENTA ,"6,43,399","5,69,816","8,56,058","7,04,725","65,177","14,325","16,176","1,42,242","50,819","40,977",0,"12,448","49,525","33,924",0,0,0,0,"4,592","1,838","9,067",0,"8,388",0,0,0,0,0,12,"1,50,112",865,0,0,0,215,"1,013",0,0,0,0,"1,472",349,"1,015",0,0,0,"16,015",0,23,"4,101",0,1,0,0,0,0,"2,517",0,3,0,0,0,0,0,"34,01,209",,9. ACTIVOS NO CORRIENTES EN VENTA 
10. PARTICIPACIONES ,"6,74,30,284","2,21,20,338","6,24,345","17,17,706","8,08,957","5,07,853","26,791","1,46,919","2,37,569","39,60,500",0,"21,794","2,92,852","3,04,237","1,15,273",7,33,0,"81,598","24,523","3,46,231","20,883",6,"1,155",0,"1,01,511","4,133",1,"7,385",0,"4,921","27,621",0,"1,07,399","1,116","1,21,310","2,316",0,"26,046","9,704","8,916",0,640,"4,350","3,97,081",0,698,"23,290",0,0,661,"1,45,061","1,112","10,000","10,110",0,"4,895",0,0,0,10,3,0,0,"9,98,10,144",,10. PARTICIPACIONES 
10. 1. Entidades asociadas ,"55,95,002","22,96,088","10,503","3,211","2,76,458","3,087",0,"1,348","53,266",0,0,0,456,0,0,7,33,0,"15,376","13,900","3,46,231","9,434",0,0,0,0,0,0,95,0,0,0,0,0,0,107,0,0,"6,947",0,"2,274",0,634,0,0,0,0,0,0,0,0,267,0,"10,000",0,0,0,0,0,0,10,0,0,0,"86,44,734",,10. 1. Entidades asociadas 
10. 2. Entidades multigrupo ,"5,01,246","16,780","79,053","9,304","7,443",696,0,"2,398","53,261","6,912",0,"2,204","1,503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,058",0,0,0,"11,675",0,0,"9,045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,"7,04,780",,10. 2. Entidades multigrupo 
