Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235
5. 1. Depósitos en entidades de crédito ,"2,85,54,427","5,36,10,316","83,29,745","2,03,87,499","38,70,525","23,60,315","13,87,424","24,46,035","4,14,437","1,66,49,135","3,03,283","1,91,826","11,97,527","57,22,248","50,72,871","9,85,872","66,98,494","35,35,103","41,191","9,86,245","9,81,151","13,878","18,98,930","5,32,716","14,83,816","7,75,093","5,61,945","14,12,749",0,"2,90,773","89,944","28,569","1,83,015","53,878","50,178","11,613","2,63,525","33,848","83,184","79,460","17,72,649","35,051","35,92,470","4,113","2,27,425","1,11,938","2,42,782","33,389","67,454","2,75,909","43,006","88,672","66,670","84,859","1,80,613","33,194",259,"29,574","65,086","32,788","20,145","17,908","8,665","9,115",0
5. 2. Crédito a la clientela  ,"23,39,32,033","17,09,02,574","8,87,60,256","7,48,53,188","6,29,36,168","4,35,78,145","2,75,71,004","2,27,20,066","1,89,12,890","51,06,116","78,52,186","74,68,507","1,43,69,369",0,"23,73,726","1,20,29,965","9,81,353","25,922","34,89,455","51,16,836","48,92,538","16,13,688","15,77,480",0,"3,61,302","91,186","10,31,310","4,691","19,95,766","10,54,452","14,80,421","5,97,972","79,224","6,59,728","16,63,808","8,96,438","1,66,415","4,16,770","4,77,627","6,22,851","46,92,768","1,31,430","72,570","17,87,245","98,935","4,28,131","29,861","2,87,043",0,"5,09,246","28,61,646",652,"4,426","13,430","22,243",538,"2,77,612","69,399","78,995",0,28,0,"4,001",0,0
5. 3. Valores representativos de deuda  ,0,"1,11,67,229",0,"3,29,591",0,0,0,"6,36,864","20,63,883","18,06,943",0,0,0,0,0,0,0,"9,36,412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,73,134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"3,534",0,"3,91,366",0,0,0,0
Pro-memoria: Prestados o en garantía  ,"4,13,46,523","3,83,568","2,50,08,119","1,16,082","4,56,384",0,"11,36,964","66,01,991","1,23,10,091","13,50,000","66,075",0,"4,73,333",0,"16,56,197",0,0,0,0,"8,200","1,42,024",0,0,0,"12,43,121",0,"78,221",0,0,0,"4,80,102","35,151","24,694",0,0,0,"3,653",0,0,"60,110","14,33,116","1,250",0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,"93,01,746",0,"28,59,429","20,63,662",0,"25,29,280",0,"15,82,615",0,0,0,"5,69,936",0,0,0,0,0,0,"5,41,760",3,0,0,0,0,0,"3,17,488",0,0,0,0,"72,873","99,295",0,0,0,0,"26,283","55,262","12,606",0,0,0,0,0,0,0,0,"90,148",0,0,0,"12,058","38,724","19,212",0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"37,10,897",0,"17,14,138","19,87,513",0,"11,15,592",0,"3,58,840",0,0,0,"3,57,777",0,0,0,0,0,0,"1,21,278",0,0,0,0,0,0,0,0,0,0,0,"56,260","51,092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,321",0,0,0,0,"38,590",238,0,0,0,0,0,0,0,0,0,0,0
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,"1,06,843",0,0,"1,42,934",0,-139,0,"16,707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8. DERIVADOS DE COBERTURA ,"38,82,381","45,49,365","11,91,002","15,01,178","7,89,770","2,16,681","1,613","1,99,402","9,419","1,20,391","1,27,984","81,599","1,96,403",0,0,"2,06,870",16,0,"31,080","10,304","8,224",0,0,0,0,"3,13,341",477,0,"57,099",0,0,0,0,0,103,"13,467",0,0,0,181,"1,010",0,"1,04,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9. ACTIVOS NO CORRIENTES EN VENTA ,"7,91,254","7,73,543","9,29,596","10,15,510","99,673","18,260","29,684","1,78,536","84,925","60,098","32,900","65,716","24,175",0,0,0,0,0,"2,816","19,205","5,841","25,057",0,0,0,0,0,0,"1,48,484",314,"6,590",271,0,640,0,0,0,"1,662","1,174",0,"1,586",0,0,"19,006",0,0,58,"1,475",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
10. PARTICIPACIONES ,"2,46,04,942","6,10,64,481","17,35,603","6,11,604","8,99,878","5,49,192","26,791","1,46,524","2,44,681","43,13,847","3,05,085","2,94,180","20,328",0,"1,15,271",0,"20,883",33,"27,378",6,"81,598","3,46,231","77,078",7,"1,146","4,006",0,0,0,"9,234","4,921","33,758",1,"1,116",0,0,"1,07,400","8,802",640,"2,301","1,21,318","4,350","3,58,421",698,0,"23,290","4,460","26,414","1,45,061","9,704",661,"10,000","1,112",0,"10,110",0,0,"4,903",0,0,0,10,2,0,50
