Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"25,45,49,156","18,74,93,943","8,38,26,228","6,38,76,056","6,44,85,420","4,21,59,302","2,15,60,652","2,72,71,207","1,79,02,789","1,58,32,428","1,21,97,949","96,69,422","1,50,30,724","81,52,950","91,41,132","79,16,236","61,76,458","93,93,141","47,90,251","44,16,140","43,39,221","33,98,332","60,72,549","44,72,087","38,12,533","28,16,233","64,16,255","25,66,966","72,86,383","32,77,018","21,79,993","21,31,577","13,95,664","10,22,939","24,33,148","14,61,260","11,62,521","6,42,920","8,74,325","7,78,532","4,78,212","4,15,601","1,82,349","2,88,194","19,07,668","4,20,125","10,71,919","3,86,139","12,34,512","5,44,778","15,84,646","32,43,093","3,07,573","34,72,478","4,36,109","48,168","59,69,695","1,33,074","4,79,390","96,583","2,18,434","55,984","34,452","12,52,015","83,303","33,220","1,19,773","20,443","16,869","12,514","9,099","94,89,38,452",
5.1. Depósitos en entidades de crédito ..........................................................................................................,"4,26,26,336","2,10,37,476","1,40,23,540","47,63,234","1,51,37,830","49,31,154","19,77,084","32,33,195","5,67,200","1,14,62,478","9,02,181","19,44,847","31,71,724","5,95,613","13,93,856","79,16,236","61,76,458","70,69,452","32,025","39,10,251","96,605","3,09,721","80,487","41,75,876","60,543","23,57,786","19,66,217","22,502","31,74,591","18,08,317","7,70,928","1,62,010","2,66,111","10,09,949","55,217","84,607","9,68,501","75,506","1,22,853","4,55,284","2,97,625","65,352","1,69,315","2,60,858","19,884","49,051",137,"3,61,310","34,729","2,22,465","8,65,428","24,697","1,23,865","34,72,366","5,115","48,168","15,83,080","1,21,303","4,74,150","71,435","1,42,179","22,240","19,169",178,"36,949","33,220","78,125","20,437","16,869","7,486","9,099","17,95,52,065",
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.3. Crédito a la clientela ......................................................................................................................................................................,"20,69,63,574","15,72,34,924","6,90,22,204","5,87,96,164","4,90,30,372","3,69,32,461","1,94,94,005","2,38,43,493","1,71,45,064","43,67,207","1,12,44,182","77,24,547","1,17,83,939","75,15,246","76,96,139",0,0,"22,98,679","47,41,487","2,00,880","42,26,018","30,59,561","59,85,428","2,42,358","37,36,465","94,108","44,42,667","25,44,262","41,03,423","13,77,475","14,06,849","19,60,973","11,29,416","2,832","23,76,858","13,66,889","1,91,814","5,66,977","7,50,687","1,45,747","1,54,177","3,46,953",129,"24,531","18,87,382","3,69,887","10,71,715","24,780","11,96,076","3,20,175","7,18,147","32,13,322","1,81,947",108,"4,26,560",0,"43,80,134","10,866","4,523","25,148",143,"32,069","15,281","12,51,735","34,539",0,36,0,0,"5,027",0,"75,14,40,764",
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,"3,01,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,36,0,0,"11,754",0,"41,545",0,0,0,0,"3,56,611",
5.5. Otros activos financieros ......................................................................................................................................................................,"49,59,246","92,21,543","7,80,484","3,16,658","3,17,218","2,95,687","89,563","1,94,519","1,90,525","2,156","51,586",28,"75,061","42,091","51,137",0,0,"25,010","16,739","3,151","16,598","29,050","6,634","53,853","15,525","3,64,339","7,371",202,"8,369","91,226","2,216","8,594",137,"10,158","1,073","9,764","2,206",437,785,"1,77,501","26,410","3,296","12,905","2,805",402,"1,187",67,49,"3,707","2,138","1,071","5,074","1,761",4,"4,434",0,"6,481",74,717,0,"76,112","1,639",2,102,61,0,67,6,0,1,0,"1,75,89,012",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"41,45,205","1,24,34,207",0,"8,97,208","1,16,76,059",0,"25,60,294","20,60,706","40,93,494","13,50,000","7,65,600",0,"17,40,942",0,"9,31,362",0,0,"22,80,133","4,13,475",0,"2,73,420",0,0,0,"3,34,383","20,56,375","9,09,935",0,"18,995",0,"1,80,019","1,64,711",0,0,0,"95,115",0,0,"48,569","2,61,528","1,08,950","5,798","72,028","45,422",0,100,0,"26,501",0,"1,96,342",0,0,0,0,"2,55,518",0,"7,84,837","1,16,730",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,13,03,961",
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"55,62,427",0,0,0,427,0,"18,647",0,601,0,0,0,0,0,"59,108",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,731",0,0,0,0,0,0,0,0,"56,47,955",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"20,58,135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,58,149",
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"3,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,443",
