Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131old,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
Pro-memoria: Prestados o en garantía ..........................................................................................................,"44,14,147","17,43,169","46,93,750","11,85,975","61,124","42,98,539","6,00,000","1,24,365",0,0,50,"18,815","8,150","91,948","3,06,419",0,0,0,104,0,258,"1,79,635","44,531","62,732",25,0,"1,160",0,"9,027",0,0,0,0,"1,44,320",0,0,0,0,0,0,0,0,"37,925",0,0,0,0,0,0,0,"2,910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,80,29,078"
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"24,14,98,057","19,36,88,037","8,51,68,801","6,18,08,829","6,07,08,833","3,83,71,809","2,22,74,072","2,26,84,363","1,61,37,887","1,55,22,363","1,08,53,620","82,66,996","1,41,28,658","75,80,990","79,30,288","50,42,077","64,82,793","78,76,134","45,18,345","39,12,673","39,41,173","29,55,064","56,21,985","58,47,943","34,90,795","23,42,607","50,59,202","21,83,803","39,94,671","32,19,749","31,00,021","22,52,303","18,62,046","12,16,021","7,82,778","23,98,978","13,95,864","7,96,078","6,08,488","7,14,156","7,40,991","5,88,244","4,42,277","4,81,060","3,52,678","18,41,252","3,98,249","10,66,148","3,76,754","10,70,073","4,83,573","12,29,505","28,88,927","2,55,392","31,04,951","3,70,348","38,729","37,96,435","1,23,587","1,08,678","1,52,144","1,41,750","53,857","33,839","11,54,833","98,988","32,839","23,568","20,176","16,659","12,661","9,113","90,97,47,628"
5.1. Depósitos en entidades de crédito ..........................................................................................................,"4,70,17,588","4,76,21,159","2,04,33,548","66,24,789","1,58,15,663","51,63,996","13,65,896","14,45,055","5,21,021","1,15,75,004","2,10,108","33,237","32,51,110","5,04,640","9,41,224","50,42,077","64,82,793","56,00,028","22,010","33,89,086","75,599","1,51,021","77,986","54,38,312","56,845","18,36,502","11,96,881","16,316","6,19,236","19,40,493","7,08,589","8,81,389","58,614","2,47,998","7,60,649","10,717","1,27,988","5,99,517","97,116","86,395","4,46,775","3,72,803","1,41,474","4,42,890","3,28,270","63,916","77,466",445,"3,58,302","6,416","2,05,477","4,58,187","25,318","86,864","31,04,845","5,475","38,729","2,59,804","1,13,910","1,02,801","1,52,144","1,28,072","23,311","19,224",0,"63,521","32,839","1,617","20,160","16,659","7,654","9,113","20,51,62,676"
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3. Crédito a la clientela ......................................................................................................................................................................,"19,13,21,248","13,87,61,462","6,40,23,630","5,45,53,643","4,46,01,859","3,29,19,995","2,07,85,526","2,11,39,952","1,54,01,250","38,95,400","1,06,18,299","82,33,578","1,07,06,499","70,53,591","69,52,979",0,0,"22,61,966","44,83,313","1,99,200","38,55,582","27,77,263","55,37,822","3,00,010","34,23,245","89,150","38,60,875","21,67,286","33,68,213","11,98,017","23,58,255","13,54,213","18,00,839","9,67,949","22,119","23,86,497","12,61,021","1,94,497","5,10,637","6,27,280","1,26,630","1,63,380","2,98,151",200,"18,588","17,77,084","3,19,476","10,65,561","18,450","10,60,074","2,75,951","7,62,861","28,58,345","1,60,798",102,"3,60,992",0,"35,36,229","9,336","5,444",0,100,"30,197","14,613","11,54,746","27,451",0,34,1,0,"5,006",0,"69,00,23,960"
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,"3,12,406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,36,0,0,"7,927",0,"21,917",0,0,0,0,"3,42,384"
5.5. Otros activos financieros ......................................................................................................................................................................,"31,59,221","73,05,416","7,11,623","6,30,397","2,91,311","2,87,818","1,22,650","99,356","2,15,616","51,873","25,213",181,"1,71,049","22,759","36,085",0,0,"14,140","13,022","11,981","9,992","26,780","6,177","1,09,621","10,705","4,16,955","1,446",201,"7,222","81,239","33,177","16,701","2,593",74,10,"1,764","6,855","2,064",735,481,"1,67,586","52,061","2,652","37,970","5,820",252,"1,307",142,2,"3,583","2,145","8,457","5,264","7,730",4,"3,881",0,402,329,433,0,"13,578",313,2,87,89,0,0,15,0,1,0,"1,42,18,608"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"31,39,330","1,09,84,848",0,"22,71,501","1,07,80,440",0,"25,90,800","18,57,790","33,69,770","12,00,000","5,88,107",0,"18,16,489",0,"7,08,107",0,0,"19,17,357","3,40,492",0,"2,40,461",0,0,0,"2,30,379","16,34,670","8,51,728",0,"21,257",0,"10,05,341","2,39,297","1,10,584",0,0,0,"1,10,348",0,0,"17,607","2,61,212","1,31,114","3,402","3,54,361","1,15,581",0,900,0,"26,501",0,"1,64,851",0,0,0,0,"2,13,530",0,0,"99,287",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,73,97,442"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"56,66,855",0,0,0,420,0,"19,225",0,602,0,0,0,0,0,"70,706",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,"6,857",0,0,0,0,0,0,0,0,"57,65,299"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"13,36,894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,"13,37,528"
