Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131old,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
4.7. Otros pasivos financieros ......................................................................................................................................................................,"44,62,743","78,73,299","23,04,279","11,72,314","7,64,336","3,94,031","1,30,510","1,08,759","2,07,505","43,999","59,999","40,771","2,91,877","95,493","1,34,556","1,815",0,"3,51,301","17,824","4,626","21,996","29,355","11,894","24,189","20,979","3,99,777","1,16,994","16,624","14,280","47,712","38,098","10,695","10,293","2,364","3,227",394,"13,903",750,"4,772","12,469","1,41,981","34,789","4,318","29,716","12,143",953,"5,474",716,43,936,743,"2,252","1,24,310","5,572",141,"5,969",11,"9,587",123,478,"22,020","77,705","1,969",27,"2,246","18,223",0,43,9,3,0,23,"1,97,63,325"
10. AJUSTES A PASIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11. DERIVADOS DE COBERTURA ..........................................................................................................,"22,32,483","15,86,627","7,23,423","3,32,279","3,51,880",307,"86,972","79,905","43,107","77,167","10,388","3,29,540","58,715","51,590","68,255",0,0,46,"5,141","4,980","4,156","29,686","7,58,008",0,"1,793",0,0,0,"2,125",0,0,"3,952","1,756",0,0,"1,675",0,"9,842",0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,"9,545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,65,963"
12. PASIVOS ASOCIADOS CON ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.1. Depósitos de la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.2. Resto de pasivos ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14. PROVISIONES .............................................................................................................................................................................,"67,51,135","83,72,251","26,57,836","4,68,692","2,60,253","1,55,977","1,75,267","1,44,669","42,379","65,994","43,491","28,498","69,392","57,195","83,929",0,138,"16,919","22,915","2,538","15,913","3,500","2,145",566,"21,531",456,"19,840",57,"49,393","54,787","19,712","2,592","16,619",623,"1,189","1,326","3,434",459,469,"4,149",327,"3,100",925,188,158,12,495,81,14,758,"1,529","1,491","1,646","2,001","1,095",917,232,"12,023",45,"2,733","4,338",0,68,0,0,35,135,59,33,695,31,0,"1,96,73,392"
14.1. Fondos para pensiones y obligaciones similares ..........................................................................................................,"53,17,146","75,83,338","23,95,549","2,73,876","1,32,678","1,380","1,15,618","1,06,103","9,435","61,033","21,813","25,896","25,594","3,749","23,968",0,138,"3,332","13,778",281,"8,737",0,10,0,"10,624",40,"6,574",0,"32,132","54,107","9,856",0,"13,689",20,68,8,0,114,0,0,0,836,0,0,0,0,0,5,0,656,"1,137",0,0,0,0,0,114,"7,346",0,0,"4,338",0,0,0,0,0,48,59,0,326,0,0,"1,62,65,549"
14.2. Provisiones para impuestos ..........................................................................................................,0,0,0,"2,830","26,770",0,"14,647",0,0,0,"3,896",0,"13,627",0,0,0,0,0,"2,653",0,735,0,0,0,7,0,0,57,"11,148",0,0,0,248,0,0,25,0,0,0,0,0,0,206,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,"77,770"
14.3. Provisiones para riesgos y compromisos contingentes ..........................................................................................................,"4,84,945","4,32,058","1,17,031","86,826","99,670","33,117","18,533","19,341","32,944",923,"16,550",136,"21,618","9,157","12,993",0,0,341,"6,484",41,"6,441","3,500","2,135",566,"7,503",412,"1,890",0,"5,242",458,"2,724","2,592",840,0,1,"1,293","1,272",345,469,230,163,369,648,0,158,10,495,1,14,102,392,778,42,"1,097",0,0,64,"2,163",45,"1,553",0,0,68,0,0,35,1,0,1,33,0,0,"14,38,853"
14.4. Otras provisiones ......................................................................................................................................................................,"9,49,044","3,56,855","1,45,256","1,05,160","1,135","1,21,480","26,469","19,225",0,"4,038","1,232","2,466","8,553","44,289","46,968",0,0,"13,246",0,"2,216",0,0,0,0,"3,397",4,"11,376",0,871,222,"7,132",0,"1,842",603,"1,120",0,"2,162",0,0,"3,919",164,"1,895",71,188,0,2,0,0,0,0,0,713,"1,604",904,"1,095",917,54,"2,514",0,334,0,0,0,0,0,0,86,0,32,336,31,0,"18,91,220"
15. PASIVOS FISCALES ..................................................................................................................................................................,"10,56,774","1,67,477","25,983","3,95,992","1,68,313","1,17,594","1,31,886","46,457","72,845","1,19,056","50,621","4,223","23,788","24,702","47,941",0,160,1,"21,724",0,"17,022","4,267","9,929","1,918","23,376","6,705",346,"1,937",249,"26,406","7,075","23,259","8,586",149,"9,569","7,148","1,893","2,622","7,632",175,0,701,"1,085","1,602",0,"2,320","1,232","2,199",540,"3,754","30,735",0,"18,697","1,081","3,533",654,"35,844","7,723","8,192",0,0,"9,406",108,198,"1,157",204,112,18,0,90,0,0,"27,66,985"
15.1. Corrientes ...........................................................................................................................................................................,0,0,0,"3,26,767","1,41,029","67,394","6,912","35,381","31,522",0,"50,338","4,223","17,595","4,650","14,401",0,160,1,"21,677",0,"16,843","2,223","3,469","1,508","23,343","5,369",0,963,0,"14,523","6,278","3,765","8,546",0,"9,569","7,148","1,893","2,622","2,001",15,0,598,692,"1,590",0,"2,267",430,"2,199",517,"3,754","9,547",0,"17,517",0,430,113,0,"6,010",0,0,0,"9,406",108,198,"1,157",204,112,18,0,90,0,0,"8,89,085"
15.2. Diferidos ............................................................................................................................................................................,"10,56,774","1,67,477","25,983","69,225","27,284","50,200","1,24,974","11,076","41,323","1,19,056",283,0,"6,193","20,052","33,540",0,0,0,47,0,179,"2,044","6,460",410,33,"1,336",346,974,249,"11,883",797,"19,494",40,149,0,0,0,0,"5,631",160,0,103,393,12,0,53,802,0,23,0,"21,188",0,"1,180","1,081","3,103",541,"35,844","1,713","8,192",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,77,900"
16. PERIODIFICACIONES ..................................................................................................................................................................,"7,25,057","9,76,498","3,16,222","1,79,427","1,70,079","72,365","91,289","1,61,380","46,187","20,316","29,434","7,695","65,255","31,900","38,061",62,162,"25,230","13,699","5,571","12,601","10,893","6,606","8,644","10,977","4,635","25,566","7,896","7,400","29,706","25,750","3,531","4,791","8,631","6,498","2,024","3,136","3,429",980,"2,891",0,796,"5,524","2,190","2,308","1,259","1,864","1,605",13,"1,439","2,480","5,242","19,995","5,163",50,"1,435",316,"7,053",470,571,182,"49,396","2,015",8,"1,808",295,94,30,79,45,131,9,"32,76,339"
17. OTROS PASIVOS ........................................................................................................................................................................,"1,80,902","4,28,439",616,"83,734","40,624","58,288","11,273","27,986","12,764","21,747","6,895",18,0,"4,752","2,108",0,0,"12,465","1,695","2,990","2,308","1,228","3,378","9,171","2,629",235,"2,24,699","3,115","11,085","1,76,952",32,605,"3,604",937,837,467,"2,392","12,216",0,41,"3,728",167,617,183,"4,767","1,631",91,212,0,0,438,0,963,0,1,41,0,833,0,0,0,"3,138",0,0,"1,611",0,0,1,133,0,0,0,"13,71,782"
17.1. Fondo Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2. Resto ................................................................................................................................................................................,"1,80,902","4,28,439",616,"83,734","40,624","58,288","11,273","27,986","12,764","21,747","6,895",18,0,"4,752","2,108",0,0,"12,465","1,695","2,990","2,308","1,228","3,378","9,171","2,629",235,"2,24,699","3,115","11,085","1,76,952",32,605,"3,604",937,837,467,"2,392","12,216",0,41,"3,728",167,617,183,"4,767","1,631",91,212,0,0,438,0,963,0,1,41,0,833,0,0,0,"3,138",0,0,"1,611",0,0,1,133,0,0,0,"13,71,782"
18. CAPITAL CON NATURALEZA DE PASIVO FINANCIERO ..........................................................................................................,0,0,0,"5,12,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,12,016"
TOTAL PASIVO,"31,62,85,776","25,80,24,512","10,16,82,339","6,57,69,110","6,62,86,595","4,71,48,940","2,36,61,891","2,45,09,480","1,61,87,683","1,50,64,929","1,03,13,147","1,10,70,258","1,50,17,874","76,51,344","85,46,893","53,19,036","69,66,011","78,59,249","41,77,439","39,49,981","36,76,144","34,07,985","82,04,823","75,79,871","33,70,463","29,13,098","54,83,615","21,82,899","38,14,226","33,79,507","34,46,793","22,82,140","17,49,220","13,41,859","7,20,317","22,02,278","14,61,147","8,49,412","6,41,056","7,60,704","8,34,859","5,48,190","5,22,658","4,54,286","3,58,481","18,40,066","4,00,951","10,12,908","3,28,587","10,27,221","5,35,908","12,05,854","26,36,719","2,33,671","29,42,949","3,54,376","36,476","37,73,754","1,25,879","43,618","27,302","1,44,828","43,466","15,797","11,26,758","81,169",341,649,254,833,"1,460",32,"1,09,56,20,344"
PATRIMONIO NETO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AJUSTES POR VALORACIÓN ......................................................................................................................................................................,"18,07,481","1,43,217","-65,036","57,922","14,868","-11,681","1,96,125","-13,421","42,911","17,873",58,"-3,379","-6,925","1,478","28,994",0,0,"17,249",53,"-1,847",268,"-5,727","12,472",756,68,"2,768","2,295",0,131,-577,-346,391,56,133,0,0,-793,1,"6,600",188,0,-568,623,27,-7,114,867,0,54,0,"42,370",0,0,"1,810",0,185,"74,445",0,"28,427",0,0,0,0,0,0,-48,0,0,0,0,0,0,"23,92,923"
2.1. Activos financieros disponibles para la venta ..........................................................................................................,"18,99,387","1,28,924","1,973","58,968","6,180","-11,890","1,96,125","-15,524","42,911",333,58,"-3,379","9,831","1,421","28,966",0,0,"17,249",53,0,268,"-5,727","11,860",756,68,"2,768","2,295",0,131,-577,-346,256,56,133,0,0,-793,0,"6,600",188,0,-568,623,27,-7,114,867,0,54,0,"42,370",0,0,"1,810",0,185,"74,445",0,"28,427",0,0,0,0,0,0,-48,0,0,0,0,0,0,"25,27,821"
2.2. Pasivos finan. a valor razonable con cambios en el patrim. neto ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Coberturas de los flujos de efectivo ..........................................................................................................,"-91,755","14,293","-67,009",-423,"8,688",0,0,"2,103",0,"17,540",0,0,"-16,756",0,28,0,0,0,0,"-1,847",0,0,612,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,34,391"
2.4. Coberturas de inversiones netas en negocios en el extranjero ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5. Diferencias de cambio ......................................................................................................................................................................,-151,0,0,-623,0,209,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-507
2.6. Activos no corrientes en venta ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. FONDOS PROPIOS ..................................................................................................................................................................,"1,42,43,328","2,89,49,879","43,22,491","37,71,612","34,65,415","14,23,943","10,73,684","9,10,312","7,81,512","40,05,303","10,12,522","3,00,069","6,68,611","6,04,356","4,22,975","99,541","69,746","2,18,927","4,97,000","49,033","3,94,811","1,62,442","1,43,462","1,84,724","2,28,185","74,849","2,24,044","3,66,028","3,15,768","3,00,531","83,396","1,78,483","2,03,460","1,41,394","62,841","2,12,206","94,522","33,603","57,018","36,010","85,639","1,15,243","69,938","39,354","31,293","56,785","25,364","61,269","55,233","60,100","96,062","76,586","2,91,283","70,090","3,49,852","30,074","1,95,212","1,62,196","25,278","1,00,449","1,26,710","60,096","23,259","25,268","35,621","24,759","32,557","22,953","19,926","15,972","11,592","9,083","7,27,93,132"
3.1. Capital o fondo de dotación ......................................................................................................................................................................,"17,40,465","31,27,148","5,48,521","1,53,002","1,21,543","1,18,574","86,356","1,57,841","1,02,948","9,96,213","16,297","1,51,043","67,393","29,159","34,320","30,050","58,298","21,190","26,036","39,077","9,129","83,440","1,02,061","72,938","9,600","12,500","38,771","1,46,925","3,60,297","1,72,774","86,600","73,148","10,572","80,317","5,412","84,250","23,101","22,779","4,509","34,800","94,547","66,032","91,524","45,473","18,040","58,080","5,950","31,000","4,508","50,154","39,281","72,224","60,902","52,405","2,62,431","14,761","32,775","14,983","18,080","1,00,002","50,995","27,041","14,514","18,060","14,300","18,030","14,039","18,030","18,681","11,630","9,015","9,016","1,04,15,900"
3.1.1. Emitido ..................................................................................................................................................................,"17,40,465","31,27,148","5,48,521","1,53,002","1,21,543","1,18,574","86,356","1,57,841","1,02,948","9,96,213","16,297","1,51,043","67,393","29,159","34,320","30,050","58,298","21,190","26,036","39,077","9,129","83,440","1,02,061","72,938","9,600","12,500","38,771","1,46,925","4,42,792","1,72,774","86,600","73,148","10,572","80,317","5,412","84,250","23,101","22,779","4,509","34,800","94,547","66,032","91,524","45,473","18,040","58,080","5,950","31,000","4,508","50,154","39,281","72,224","60,902","52,405","3,37,417","14,761","32,775","14,983","18,080","1,00,002","50,995","27,041","14,514","18,060","14,300","18,030","14,039","18,030","18,681","11,630","9,015","9,016","1,05,73,381"
3.1.2. Pendiente de desembolso no exigido (-) ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-82,495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-74,986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,57,481"
3.2. Prima de emisión ......................................................................................................................................................................,"95,79,443","2,03,70,128",0,"13,73,270","12,16,291","3,33,176","1,93,208","1,97,547","54,949","11,39,990",13,"10,662","1,66,572","2,804","98,216","65,407",0,0,0,"59,354","2,539","15,322",0,"49,008",511,"7,275",0,"2,00,865",747,0,"9,900","69,912",94,"1,32,087",138,"1,364","35,906",55,0,0,"75,874","29,388",0,0,0,0,"7,212","3,606",0,451,"10,955",0,"6,611",0,"57,140",0,"39,038","27,818",0,0,0,0,"1,276",0,0,0,0,0,189,0,0,0,"3,56,46,311"
3.3. Reservas ..................................................................................................................................................................,"23,06,007","80,25,131","35,96,504","20,69,250","19,25,402","9,85,302","7,78,302","5,34,143","5,92,996","17,65,294","9,51,268","1,25,504","4,17,275","5,62,060","2,78,045","3,765","11,112","3,23,260","4,50,878","-53,707","3,68,576","61,098","35,897","59,734","2,04,544","52,350","1,74,105","7,606","-45,745","1,19,895","-8,424","27,610","1,85,659","-76,251","83,704","1,22,840","34,282","8,303","50,604","1,181","-86,366","18,582","-19,915","-6,155","11,256","-3,688","11,351","25,476","50,250","8,459","36,056",-543,"2,12,482","14,156","29,829","15,900","1,88,419","1,17,669","8,647",-853,"21,458","27,740","7,194","7,057","22,457","6,305","18,774","4,886",966,"4,249","2,528",65,"2,78,70,050"
3.3.1. Reservas (pérdidas) acumuladas ..........................................................................................................,"23,06,007","47,68,941","35,96,504","20,69,250","16,17,453","8,18,763","6,43,085","5,34,143","5,92,996","17,65,294","8,39,204","84,582","4,17,212","5,27,348","2,78,045","3,073","10,283","1,66,785","4,04,188","-53,707","3,34,902","61,098","35,897","47,513","1,72,896","45,999","1,35,580","7,606","-45,745","92,792","-8,424","21,107","1,59,741","-86,571","33,150","1,01,936","34,282","8,303","45,407","1,028","-86,366","17,481","-19,915","-6,155","6,521","-3,688","8,395","13,462","48,412","5,903","28,073",-543,"2,12,482","9,220","27,191","14,353","1,09,617","97,604","6,333",-853,"21,452","11,615","5,759","6,556","22,457","5,455","18,204","4,837",966,"3,714","2,328",60,"2,31,78,876"
3.3.2. Remanente ..................................................................................................................................................................,0,"32,56,190",0,0,"3,07,949","1,66,539","1,35,217",0,0,0,"1,12,064","40,922",63,"34,712",0,692,829,"1,56,475","46,690",0,"33,674",0,0,"12,221","31,648","6,351","38,525",0,0,"27,103",0,"6,503","25,918","10,320","50,554","20,904",0,0,"5,197",153,0,"1,101",0,0,"4,735",0,"2,956","12,014","1,838","2,556","7,983",0,0,"4,936","2,638","1,547","78,802","20,065","2,314",0,6,"16,125","1,435",501,0,850,570,49,0,535,200,5,"46,91,174"
3.4. Otros instrumentos de capital ..........................................................................................................,"34,255","44,751",0,"1,662",0,"9,473","2,813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"92,954"
3.4.1. De instrumentos financieros compuestos ..........................................................................................................,0,"8,303",0,0,0,"9,473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,776"
3.4.2. Resto ..................................................................................................................................................................,"34,255","36,448",0,"1,662",0,0,"2,813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,178"
3.5. Menos: Valores propios ......................................................................................................................................................................,"-4,41,412",0,0,0,0,"-1,029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,843",0,0,0,0,0,0,0,0,0,0,0,0,-767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,46,133"
3.6. Cuotas participativas y fondos asociados (Cajas de Ahorros) ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6.1. Cuotas participativas ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6.2. Fondo de reservas de cuotapartícipes ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6.3. Fondo de estabilización ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7. Resultado del ejercicio ......................................................................................................................................................................,"10,24,570","6,38,864","1,77,466","1,74,428","2,02,179","80,503","45,004","20,781","30,619","1,03,806","44,944","12,860","17,371","10,333","12,394",319,336,"1,16,177","20,086","4,309","14,567","2,657","5,504","3,044","13,530","2,724","11,168","10,632",476,"7,862","-4,680","7,813","7,135","5,241","12,120","3,752","1,233","2,466","1,905",29,"1,584","1,241","1,172",36,"1,997","2,393",851,"1,187",475,"1,036","9,770","4,905","11,288","3,529",452,180,655,"1,726",551,"1,300","58,342","5,315",275,151,118,425,195,37,90,93,49,2,"29,57,947"
3.8. Menos: Dividendos y retribuciones ..........................................................................................................,0,"-32,56,143",0,0,0,"-1,02,056","-31,999",0,0,0,0,0,0,0,0,0,0,"-2,41,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-38,533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-65,675",0,"-2,000",0,"-4,085",0,0,0,"-1,254",0,-451,0,0,0,0,0,"-37,43,896"
TOTAL PATRIMONIO NETO,"1,60,50,809","2,90,93,096","42,57,455","38,29,534","34,80,283","14,12,262","12,69,809","8,96,891","8,24,423","40,23,176","10,12,580","2,96,690","6,61,686","6,05,834","4,51,969","99,541","69,746","2,36,176","4,97,053","47,186","3,95,079","1,56,715","1,55,934","1,85,480","2,28,253","77,617","2,26,339","3,66,028","3,15,899","2,99,954","83,050","1,78,874","2,03,516","1,41,527","62,841","2,12,206","93,729","33,604","63,618","36,198","85,639","1,14,675","70,561","39,381","31,286","56,899","26,231","61,269","55,287","60,100","1,38,432","76,586","2,91,283","71,900","3,49,852","30,259","2,69,657","1,62,196","53,705","1,00,449","1,26,710","60,096","23,259","25,268","35,621","24,711","32,557","22,953","19,926","15,972","11,592","9,083","7,51,86,055"
TOTAL PATRIMONIO NETO Y PASIVO,"33,23,36,585","28,71,17,608","10,59,39,794","6,95,98,644","6,97,66,878","4,85,61,202","2,49,31,700","2,54,06,371","1,70,12,106","1,90,88,105","1,13,25,727","1,13,66,948","1,56,79,560","82,57,180","89,98,862","54,18,577","70,35,757","80,95,425","46,74,492","39,97,167","40,71,223","35,64,700","83,60,757","77,65,351","35,98,716","29,90,715","57,09,954","25,48,927","41,30,125","36,79,461","35,29,843","24,61,014","19,52,736","14,83,386","7,83,158","24,14,484","15,54,876","8,83,016","7,04,674","7,96,902","9,20,498","6,62,865","5,93,219","4,93,667","3,89,767","18,96,965","4,27,182","10,74,177","3,83,874","10,87,321","6,74,340","12,82,440","29,28,002","3,05,571","32,92,801","3,84,635","3,06,133","39,35,950","1,79,584","1,44,067","1,54,012","2,04,924","66,725","41,065","11,62,379","1,05,881","32,898","23,602","20,180","16,805","13,052","9,115","1,17,08,06,402"
PRO-MEMORIA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. RIESGOS CONTINGENTES .................................................................................................................................................................,"9,05,31,264","8,86,78,657","1,10,57,225","86,12,079","2,33,05,497","49,93,728","17,81,958","16,82,130","22,20,529","13,76,001","14,25,983","6,70,081","70,17,503","6,83,955","8,99,724",4,"5,465","36,522","5,84,834","1,812","5,53,772","3,21,527","1,00,251","66,792","6,14,890","29,081","1,99,298",0,"3,05,314","16,349","3,50,113","1,99,935","71,844",0,49,"1,02,684","1,04,147","69,978","26,528","29,806","8,619","34,701","23,394",0,"1,56,008","1,324","35,276",124,"1,024","8,698","40,194","1,47,868","7,119","15,939","6,786",42,"5,07,211","95,835","2,477","79,040",0,0,"5,760",0,34,"31,171",28,0,"1,625","1,455",0,0,"24,99,39,061"
