Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
Pro-memoria: Prestados o en garantía ..........................................................................................................,"39,27,795","19,60,463","61,36,339","15,64,638","29,067","42,67,991","5,32,600","11,80,357",14,0,909,"3,26,668","10,213","81,725",0,0,0,0,99,0,961,"1,78,710","7,416","34,932",851,0,743,0,"8,895",0,6,0,"1,42,101",0,0,0,0,0,0,0,"29,994","45,530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,04,69,017",
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"25,37,21,462","19,09,92,855","8,63,14,612","6,36,71,696","6,45,02,294","4,38,34,583","2,16,60,670","2,69,49,455","1,78,07,578","1,64,74,857","1,19,56,771","1,04,34,850","1,54,82,751","81,15,601","91,12,290","79,48,931","57,12,913","95,78,749","48,93,790","45,20,170","43,53,911","33,22,759","61,67,192","49,55,266","37,82,170","25,31,714","64,65,708","26,37,446","73,57,782","32,84,510","22,55,848","21,35,049","14,47,497","14,06,269","23,97,150","14,72,623","12,68,900","6,46,292","9,42,820","6,88,372","4,87,907","4,54,219","28,774","2,91,600","19,27,122","4,26,482","10,70,619","3,89,940","12,34,962","4,88,739","15,91,772","33,22,148","3,11,409","35,30,901","4,38,979","50,146","59,77,300","1,42,136","5,52,443","96,112","1,96,867","63,279","34,709","12,55,154","81,819","33,334","1,18,739","20,495","16,918","12,551","9,102","95,78,62,833",
5.1. Depósitos en entidades de crédito ..........................................................................................................,"4,11,22,700","2,27,30,653","1,53,62,031","42,44,260","1,46,49,224","60,01,113","20,25,539","24,74,563","3,98,483","1,20,79,039","6,28,341","24,65,512","34,92,553","4,04,391","13,23,892","79,48,931","57,12,913","71,98,579","38,928","40,10,472","88,036","2,13,618","36,890","46,48,969","47,064","21,90,569","19,53,376","22,276","30,87,353","18,01,230","8,53,243","1,57,488","3,02,903","13,85,430","13,417","91,357","11,28,768","74,689","1,72,787","3,95,166","3,11,137","1,13,363","22,322","2,60,112","18,803","50,750",156,"3,62,908","12,812","1,55,641","8,41,205","24,501","1,30,303","35,30,787","4,929","48,285","15,21,946","1,29,994","5,48,065","62,423","1,80,843","31,839","18,813",691,"29,950","33,334","77,142","20,493","16,918","7,503","9,102","18,15,53,816",
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,"2,00,021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00,021",
5.3. Crédito a la clientela ......................................................................................................................................................................,"20,82,39,264","15,95,13,776","6,95,36,422","5,90,25,011","4,92,85,060","3,74,95,937","1,95,48,339","2,41,68,129","1,72,73,902","43,93,490","1,12,80,682","79,69,318","1,18,51,845","76,74,214","77,30,771",0,0,"23,26,923","48,35,602","1,99,417","42,46,178","30,87,294","61,23,995","2,67,043","37,19,315","1,07,445","45,00,957","26,14,968","42,60,723","14,81,964","13,99,090","19,68,733","11,44,492","3,142","23,82,549","13,69,801","1,38,614","5,70,849","7,69,247","1,57,099","1,51,523","3,37,823",239,"26,797","19,07,928","3,74,227","10,70,378","27,028","12,18,218","3,30,407","7,28,347","32,91,779","1,80,683",110,"4,31,549",0,"44,48,852","11,222","3,924","33,689",139,"29,054","15,894","12,54,361","38,804",0,36,0,0,"5,047",0,"75,85,79,658",
5.4. Valores representativos de deuda ..........................................................................................................,0,0,"6,34,123",0,0,0,0,0,0,"1,043",0,0,0,0,0,0,0,0,0,"2,99,839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,36,0,0,"13,036",0,"41,494",0,0,0,0,"9,90,418",
5.5. Otros activos financieros ......................................................................................................................................................................,"43,59,498","87,48,426","7,82,036","4,02,425","3,67,989","3,37,533","86,792","3,06,763","1,35,193","1,285","47,748",20,"1,38,353","36,996","57,627",0,0,"53,247","19,260","10,442","19,697","21,847","6,307","39,254","15,791","2,33,700","11,375",202,"9,706","1,316","3,515","8,828",102,"17,697","1,184","11,465","1,518",754,786,"1,36,107","25,247","3,033","6,213","4,691",391,"1,505",85,4,"3,932","2,691","22,220","5,868",423,4,"2,501","1,861","6,502",73,454,0,"15,885","2,350",2,102,29,0,67,2,0,1,0,"1,65,38,920",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"42,58,135","1,77,96,638","3,51,368","12,97,970","1,19,71,242",0,"24,88,722","21,61,506","48,03,202","13,50,000","7,56,260",0,"18,74,312",0,"9,26,640",0,0,"27,20,406","4,08,777",0,"2,68,015",0,0,0,"3,22,903","18,68,255","11,46,840",0,"17,440",0,"2,02,631","1,69,546",0,0,0,"64,106",0,0,"62,757","2,54,355","1,29,790","35,639",0,"36,358",0,100,0,"26,501",0,"1,41,385",0,0,0,0,"2,63,304",0,"7,71,116","1,25,798",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,90,72,017",
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"55,67,891",0,0,0,427,0,"18,631",0,600,0,0,0,0,0,"59,010",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,753",0,0,0,0,0,0,0,0,"56,53,326",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"20,84,061",0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,84,353",
